symbol,sector,status
ADANIENT,Metals & Mining,"ASSUMED: NSE industry classification, hand-mapped"
ADANIPORTS,Services,"ASSUMED: NSE industry classification, hand-mapped"
APOLLOHOSP,Healthcare,"ASSUMED: NSE industry classification, hand-mapped"
ASIANPAINT,Consumer Durables,"ASSUMED: NSE industry classification, hand-mapped"
AXISBANK,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
BAJAJ-AUTO,Automobile,"ASSUMED: NSE industry classification, hand-mapped"
BAJAJFINSV,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
BAJFINANCE,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
BEL,Capital Goods,"ASSUMED: NSE industry classification, hand-mapped"
BHARTIARTL,Telecommunication,"ASSUMED: NSE industry classification, hand-mapped"
BPCL,Oil Gas & Consumable Fuels,"ASSUMED: NSE industry classification, hand-mapped"
BRITANNIA,FMCG,"ASSUMED: NSE industry classification, hand-mapped"
CIPLA,Healthcare,"ASSUMED: NSE industry classification, hand-mapped"
COALINDIA,Oil Gas & Consumable Fuels,"ASSUMED: NSE industry classification, hand-mapped"
DIVISLAB,Healthcare,"ASSUMED: NSE industry classification, hand-mapped"
DRREDDY,Healthcare,"ASSUMED: NSE industry classification, hand-mapped"
EICHERMOT,Automobile,"ASSUMED: NSE industry classification, hand-mapped"
ETERNAL,Consumer Services,"ASSUMED: NSE industry classification, hand-mapped"
GAIL,Oil Gas & Consumable Fuels,"ASSUMED: NSE industry classification, hand-mapped"
GRASIM,Construction Materials,"ASSUMED: NSE industry classification, hand-mapped"
HCLTECH,Information Technology,"ASSUMED: NSE industry classification, hand-mapped"
HDFC,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
HDFCBANK,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
HDFCLIFE,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
HEROMOTOCO,Automobile,"ASSUMED: NSE industry classification, hand-mapped"
HINDALCO,Metals & Mining,"ASSUMED: NSE industry classification, hand-mapped"
HINDUNILVR,FMCG,"ASSUMED: NSE industry classification, hand-mapped"
IBULHSGFIN,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
ICICIBANK,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
INDUSINDBK,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
INFY,Information Technology,"ASSUMED: NSE industry classification, hand-mapped"
IOC,Oil Gas & Consumable Fuels,"ASSUMED: NSE industry classification, hand-mapped"
ITC,FMCG,"ASSUMED: NSE industry classification, hand-mapped"
JIOFIN,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
JSWSTEEL,Metals & Mining,"ASSUMED: NSE industry classification, hand-mapped"
KOTAKBANK,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
LT,Capital Goods,"ASSUMED: NSE industry classification, hand-mapped"
M&M,Automobile,"ASSUMED: NSE industry classification, hand-mapped"
MARUTI,Automobile,"ASSUMED: NSE industry classification, hand-mapped"
MAXHEALTH,Healthcare,"ASSUMED: NSE industry classification, hand-mapped"
NESTLEIND,FMCG,"ASSUMED: NSE industry classification, hand-mapped"
NTPC,Power,"ASSUMED: NSE industry classification, hand-mapped"
ONGC,Oil Gas & Consumable Fuels,"ASSUMED: NSE industry classification, hand-mapped"
POWERGRID,Power,"ASSUMED: NSE industry classification, hand-mapped"
RELIANCE,Oil Gas & Consumable Fuels,"ASSUMED: NSE industry classification, hand-mapped"
SAMMAANCAP,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
SBILIFE,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
SBIN,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
SHREECEM,Construction Materials,"ASSUMED: NSE industry classification, hand-mapped"
SHRIRAMFIN,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
SUNPHARMA,Healthcare,"ASSUMED: NSE industry classification, hand-mapped"
TATACONSUM,FMCG,"ASSUMED: NSE industry classification, hand-mapped"
TATAMOTORS,Automobile,"ASSUMED: NSE industry classification, hand-mapped"
TATASTEEL,Metals & Mining,"ASSUMED: NSE industry classification, hand-mapped"
TCS,Information Technology,"ASSUMED: NSE industry classification, hand-mapped"
TECHM,Information Technology,"ASSUMED: NSE industry classification, hand-mapped"
TITAN,Consumer Durables,"ASSUMED: NSE industry classification, hand-mapped"
TMPV,Automobile,"ASSUMED: NSE industry classification, hand-mapped"
TRENT,Consumer Services,"ASSUMED: NSE industry classification, hand-mapped"
ULTRACEMCO,Construction Materials,"ASSUMED: NSE industry classification, hand-mapped"
UPL,Chemicals,"ASSUMED: NSE industry classification, hand-mapped"
VEDL,Metals & Mining,"ASSUMED: NSE industry classification, hand-mapped"
WIPRO,Information Technology,"ASSUMED: NSE industry classification, hand-mapped"
YESBANK,Financial Services,"ASSUMED: NSE industry classification, hand-mapped"
ZEEL,Media,"ASSUMED: NSE industry classification, hand-mapped"
INDIGO,Services,"ASSUMED: NSE industry classification, hand-mapped"
LTIM,Information Technology,"ASSUMED: NSE industry classification, hand-mapped"
INFRATEL,Telecommunication,"ASSUMED: NSE industry classification, hand-mapped"
