provenance,symbol,effective_from,effective_to,from_source,to_source
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",ADANIENT,2022-09-30,,ind_prs01092022.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",ADANIPORTS,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",APOLLOHOSP,2022-03-31,,ind_prs24022022_1.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",ASIANPAINT,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",AXISBANK,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",BAJAJ-AUTO,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",BAJAJFINSV,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",BAJFINANCE,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",BEL,2024-09-30,,ind_prs23082024.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",BHARTIARTL,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",BPCL,,2025-03-27,before window,ind_prs21022025.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",BRITANNIA,,2025-03-27,before window,ind_prs21022025.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",CIPLA,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",COALINDIA,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",DIVISLAB,2020-09-25,2024-09-29,ind_prs20082020.pdf,ind_prs23082024.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",DRREDDY,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",EICHERMOT,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",ETERNAL,2025-03-28,,ind_prs21022025.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",GAIL,,2021-03-30,before window,ind_prs23022021.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",GRASIM,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",HCLTECH,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",HDFC,,2023-07-12,before window,ind_prs04072023.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",HDFCBANK,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",HDFCLIFE,2020-07-31,,ind_prs02072020_1.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",HEROMOTOCO,,2025-09-29,before window,ind_prs22082025.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",HINDALCO,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",HINDUNILVR,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",ICICIBANK,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",INDIGO,2025-09-30,,ind_prs22082025.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",INDUSINDBK,,2025-09-29,before window,ind_prs22082025.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",INFRATEL,,2020-09-24,before window,ind_prs20082020.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",INFY,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",IOC,,2022-03-30,before window,ind_prs24022022_1.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",ITC,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",ITCHOTELS,2025-01-06,2025-02-09,ind_prs30122024.pdf,ind_prs06022025_1.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",JIOFIN,2023-07-20,2023-09-06,ind_prs17072023.pdf,ind_prs05092023.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",JIOFIN,2025-03-28,,ind_prs21022025.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",JSWSTEEL,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",KOTAKBANK,,,before window,anchor list 2026-09-17
