effective_date,added,removed,reason,status
2016-04-01,AUROPHARMA EICHERMOT INFRATEL TATAMTRDVR,CAIRN PNB VEDL,"Semi-annual review, Mar 2016 (ind_prs22022016_2.pdf). Tata Motors DVR joined as an additional security, so the index carried 51 names until 2017-09-29",effective
2017-03-31,IBULHSGFIN IOC,BHEL IDEA,"Semi-annual review, Mar 2017 (ind_prs16022017.pdf)",effective
2017-05-26,VEDL,GRASIM,Aditya Birla Nuvo / Grasim scheme of arrangement (ind_prs27042017.pdf),effective
2017-09-29,BAJFINANCE HINDPETRO UPL,ACC BANKBARODA TATAMTRDVR TATAPOWER,"Semi-annual review, Sep 2017 (ind_prs28082017.pdf); back to 50 names",effective
2018-04-02,BAJAJFINSV GRASIM TITAN,AMBUJACEM AUROPHARMA BOSCHLTD,"Semi-annual review, Mar 2018 (ind_prs21022018.pdf)",effective
2018-09-28,JSWSTEEL,LUPIN,"Semi-annual review, Sep 2018 (ind_prs28082018.pdf)",effective
2019-03-29,BRITANNIA,HINDPETRO,"Semi-annual review, Mar 2019 (ind_prs25022019.pdf)",effective
2019-09-27,NESTLEIND,IBULHSGFIN,"Semi-annual review, Sep 2019 (ind_prs28082019.pdf)",effective
2020-03-19,SHREECEM,YESBANK,Yes Bank moratorium; exclusion brought forward from 27-Mar-2020,effective
2020-07-31,HDFCLIFE,VEDL,Vedanta proposed voluntary delisting,effective
2020-09-25,DIVISLAB SBILIFE,INFRATEL ZEEL,"Semi-annual review, Sep 2020",effective
2021-03-31,TATACONSUM,GAIL,"Semi-annual review, Mar 2021",effective
2022-03-31,APOLLOHOSP,IOC,"Semi-annual review, Mar 2022",effective
2022-09-30,ADANIENT,SHREECEM,"Semi-annual review, Sep 2022",effective
2023-07-13,LTIM,HDFC,HDFC merged into HDFC Bank,effective
2024-03-28,SHRIRAMFIN,UPL,"Semi-annual review, Mar 2024",effective
2024-09-30,BEL TRENT,DIVISLAB LTIM,"Semi-annual review, Sep 2024",effective
2025-03-28,ETERNAL JIOFIN,BPCL BRITANNIA,"Semi-annual review, Mar 2025",effective
2025-09-30,INDIGO MAXHEALTH,HEROMOTOCO INDUSINDBK,"Semi-annual review, Sep 2025",effective
2026-09-30,BSE,WIPRO,"Semi-annual review, Sep 2026",announced
