symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
ONGC,3,residual_after_call_away,2021-06-25,8200,0,7700,500,0,0,0,0,500,500,FLAT
HINDALCO,4,residual_after_call_away,2020-11-27,21000,0,17200,3800,0,0,0,0,14000,3800,FLAT
COALINDIA,10,residual_after_call_away,2020-08-28,32400,0,29600,2800,0,0,0,0,2800,2800,FLAT
TATAMOTORS,44,completed,2020-11-26,45600,0,45600,0,0,0,0,0,0,0,FLAT
INDUSINDBK,45,completed,2020-10-29,11200,0,11200,0,0,0,0,0,0,0,FLAT
JSWSTEEL,46,completed,2020-10-29,24300,0,24300,0,0,0,0,0,0,0,FLAT
SBIN,47,completed,2020-11-26,33000,0,33000,0,0,0,0,0,0,0,FLAT
AXISBANK,48,completed,2020-10-29,14400,0,14400,0,0,0,0,0,0,0,FLAT
M&M,50,completed,2020-11-26,9800,0,9800,0,0,0,0,0,0,0,FLAT
MARUTI,51,completed,2020-10-29,900,0,900,0,0,0,0,0,0,0,FLAT
BAJFINANCE,52,completed,2020-11-26,1750,0,1750,0,0,0,0,0,0,0,FLAT
ICICIBANK,53,completed,2020-10-29,17875,0,17875,0,0,0,0,0,0,0,FLAT
TATASTEEL,54,completed,2020-10-29,15300,0,15300,0,0,0,0,0,0,0,FLAT
KOTAKBANK,55,completed,2020-10-29,4800,0,4800,0,0,0,0,0,0,0,FLAT
EICHERMOT,56,completed,2020-11-26,3150,0,3150,0,0,0,0,0,0,0,FLAT
SUNPHARMA,57,completed,2020-11-26,12600,0,12600,0,0,0,0,0,0,0,FLAT
ASIANPAINT,69,completed,2021-04-29,3000,0,3000,0,0,0,0,0,0,0,FLAT
BAJFINANCE,73,completed,2021-02-25,1500,0,1500,0,0,0,0,0,0,0,FLAT
DIVISLAB,76,fo_exit,2021-03-31,2200,0,0,2200,0,0,0,0,0,0,FLAT
COALINDIA,89,completed,2021-05-27,63000,0,63000,0,0,0,0,0,16800,0,FLAT
BPCL,91,completed,2021-05-27,19800,0,19800,0,0,0,0,0,0,0,FLAT
GAIL,93,universe_removal_sale,2021-04-01,67100,0,0,67100,0,0,0,0,0,0,FLAT
INDUSINDBK,94,completed,2021-05-27,9000,0,9000,0,0,0,0,0,0,0,FLAT
