symbol,pnl_peak_to_trough
TATAMOTORS,-2941127.720047514
POWERGRID,-1780864.0991622573
RELIANCE,-1621104.5559223015
BAJAJ-AUTO,-1353588.3283143844
MARUTI,-1263310.9782077773
AXISBANK,-1148602.2064994248
DRREDDY,-1140383.1330986586
BAJAJFINSV,-630988.557888775
TATASTEEL,-415062.3242577999
NESTLEIND,-401718.0210841552
SHRIRAMFIN,-363144.2204316659
M&M,-353778.3558556009
HINDALCO,-212994.56882629893
ULTRACEMCO,-170655.7853261202
BHARTIARTL,-150385.38363319403
NTPC,-137191.2797970738
BEL,-93714.87815915747
ADANIPORTS,-31440.43017977383
MAXHEALTH,0.0
ONGC,0.0
ADANIENT,0.0
SBIN,0.0
TATACONSUM,0.0
TCS,0.0
TECHM,0.0
TITAN,0.0
TMPV,0.0
TRENT,0.0
UPL,0.0
SBILIFE,0.0
KOTAKBANK,0.0
IOC,0.0
GAIL,0.0
APOLLOHOSP,0.0
ASIANPAINT,0.0
BPCL,0.0
BRITANNIA,0.0
CIPLA,0.0
COALINDIA,0.0
DIVISLAB,0.0
EICHERMOT,0.0
ETERNAL,0.0
JIOFIN,0.0
GRASIM,0.0
WIPRO,0.0
HDFCLIFE,0.0
HEROMOTOCO,0.0
HINDUNILVR,0.0
ICICIBANK,0.0
INDUSINDBK,0.0
INFY,0.0
VEDL,0.0
ITC,0.0
HCLTECH,0.0
SUNPHARMA,12819.125665445463
HDFCBANK,14973.139057299995
LT,39210.72096348356
JSWSTEEL,77738.37228724128
BAJFINANCE,178577.90681189368
