cycle_id,symbol,start,end,status,n_puts,n_calls,assigned,called_away,premium,option_pnl,stock_pnl,costs,max_margin_lev,max_margin_unlev,put_strike,assign_fsp,assign_date,first_call_spot,min_spot_while_held,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,cash_settled,stopped_out,stop_level,max_uncovered_at_call,residual_after_call_away,n_call_topups,option_pnl_t,stock_pnl_t,costs_t,total_pnl,sector,duration_days,assignment_gap_pct,drawdown_while_held_pct
1,TATASTEEL,2020-01-01,2020-11-27,residual_after_call_away,1,7,True,True,245200.53,-367339.4699999998,786895.1924999999,23575.462970904653,929290.0,2787870.0,450.0,448.55,2020-01-30,438.7,253.75,6000,0,5100,900,False,False,397.5875,1500,900,1,-367339.4699999998,786895.1924999999,23575.462970904653,395980.2595290955,Metals & Mining,331,-0.0032222222222222374,-0.43428826217812955
2,VEDL,2020-01-01,2020-08-03,universe_removal_sale,1,2,True,False,100625.0,29749.999999999804,-381633.87499999965,12697.9572619075,844375.0,2533125.0,145.0,140.95,2020-01-30,137.9,61.55,17500,0,0,17500,False,False,131.41,0,0,0,29749.999999999804,-381633.87499999965,12697.9572619075,-364581.83226190734,Metals & Mining,215,-0.027931034482758688,-0.5633203263568641
3,ONGC,2020-01-01,2020-06-25,uncoverable_odd_lot,1,1,True,False,8815.0,-19475.000000000022,-119067.27999999996,2479.3903792168003,165708.33333333334,497125.0,122.5,115.6,2020-01-30,109.25,60.0,4100,0,0,4100,False,False,108.3325,0,0,0,-19475.000000000022,-119067.27999999996,2479.3903792168003,-141021.67037921678,Oil Gas & Consumable Fuels,176,-0.05632653061224491,-0.4809688581314878
4,HINDALCO,2020-01-01,2020-11-27,residual_after_call_away,1,6,True,True,174985.0,-307925.00000000023,520270.50750000024,24132.00391271205,965581.6666666666,2896745.0,205.0,193.45,2020-01-30,189.35,87.9,14000,0,12900,1100,False,False,182.155,7000,1100,0,-307925.00000000023,520270.50750000024,24132.00391271205,188213.50358728797,Metals & Mining,331,-0.056341463414634196,-0.54561902300336
5,DRREDDY,2020-02-04,2020-02-27,put_expired_otm,1,0,False,False,10968.75,10968.75,0.0,35.568880625,749137.5,2247412.5,3000.0,0.0,,,,0,0,0,0,False,False,2755.5724999999998,0,0,0,10968.75,0.0,35.568880625,10933.181119375,Healthcare,23,,
6,BAJFINANCE,2020-02-04,2020-02-27,put_expired_otm,1,0,False,False,7336.9,7336.9,0.0,31.605878542,683258.3333333334,2049775.0,4100.0,0.0,,,,0,0,0,0,False,False,3841.3624999999997,0,0,0,7336.9,0.0,31.605878542,7305.294121458,Financial Services,23,,
7,KOTAKBANK,2020-03-30,2020-04-30,put_expired_otm,1,0,False,False,247884.0,247884.0,0.0,294.08606312,703226.6666666666,2109680.0,1340.0,0.0,,,,0,0,0,0,False,False,1099.645,0,0,0,247884.0,0.0,294.08606312,247589.91393688,Financial Services,31,,
8,UPL,2020-05-04,2020-06-25,completed,1,1,True,True,401719.5,138379.5000000003,326339.9999999997,21859.07464331,860790.0,2582370.0,400.0,391.1,2020-05-28,405.85,405.0,6300,0,6300,0,False,False,327.59,0,0,0,138379.5000000003,326339.9999999997,21859.07464331,442860.42535668996,Chemicals,52,-0.022249999999999992,0.035540782408591154
9,TCS,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,101765.625,101765.625,0.0,134.6446146875,799687.5,2399062.5,1920.0,0.0,,,,0,0,0,0,False,False,1640.8825,0,0,0,101765.625,0.0,134.6446146875,101630.9803853125,Information Technology,24,,
10,RELIANCE,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,98353.2,98353.19999999998,0.0,130.92104477600003,693600.0,2080800.0,1400.0,0.0,,,,0,0,0,0,False,False,1219.92,0,0,0,98353.19999999998,0.0,130.92104477600003,98222.27895522398,Oil Gas & Consumable Fuels,24,,
11,INFY,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,113899.68,113899.68,0.0,147.88505282239998,815460.0,2446380.0,680.0,0.0,,,,0,0,0,0,False,False,572.645,0,0,0,113899.68,0.0,147.88505282239998,113751.7949471776,Information Technology,24,,
12,COALINDIA,2020-05-04,2020-06-25,completed,1,1,True,True,221130.0,98280.0,122850.0,21638.6825138,876960.0,2630880.0,140.0,133.9,2020-05-28,141.3,129.45,18900,0,18900,0,False,False,120.95500000000001,0,0,0,98280.0,122850.0,21638.6825138,199491.31748620002,Oil Gas & Consumable Fuels,52,-0.04357142857142848,-0.03323375653472749
