from,to,level,ticks,pct,min_ticks,equity_sale_bps,tick_price_threshold,tick_below,tick_at_or_above
2019-10-01,2025-11-02,zero,0,0,1,0,,0.05,0.05
2019-10-01,2025-11-02,low,1,0.0125,1,2.5,,0.05,0.05
2019-10-01,2025-11-02,base,2,0.025,1,5,,0.05,0.05
2019-10-01,2025-11-02,high,4,0.05,1,10,,0.05,0.05
2019-10-01,2025-11-02,stress,8,0.10,1,20,,0.05,0.05
2025-11-03,current,zero,0,0,1,0,250,0.01,0.05
2025-11-03,current,low,1,0.0125,1,2.5,250,0.01,0.05
2025-11-03,current,base,2,0.025,1,5,250,0.01,0.05
2025-11-03,current,high,4,0.05,1,10,250,0.01,0.05
2025-11-03,current,stress,8,0.10,1,20,250,0.01,0.05
