cycle_id,symbol,start,end,status,n_puts,n_calls,assigned,called_away,premium,option_pnl,stock_pnl,costs,max_margin_lev,max_margin_unlev,put_strike,assign_fsp,assign_date,first_call_spot,min_spot_while_held,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,max_uncovered_at_call,residual_after_call_away,n_call_topups,option_pnl_t,stock_pnl_t,costs_t,total_pnl,sector,duration_days,assignment_gap_pct,drawdown_while_held_pct
1,TATASTEEL,2020-01-01,2020-01-30,put_expired_otm,1,0,False,False,63984.9,63984.9,0.0,93.41904318200001,923370.0,4616850.0,440.0,0.0,,,,0,0,0,0,0,0,0,63984.9,0.0,93.41904318200001,63891.480956818,Metals & Mining,29,,
2,VEDL,2020-01-01,2020-01-30,put_expired_otm,1,0,False,False,42000.0,42000.0,0.0,69.42956,979300.0,4896500.0,140.0,0.0,,,,0,0,0,0,0,0,0,42000.0,0.0,69.42956,41930.57044,Metals & Mining,29,,
3,ONGC,2020-01-01,2021-06-25,residual_after_call_away,1,8,True,True,102628.24,51148.23999999996,107249.77500000005,8168.437071782351,196904.0,984520.0,120.0,115.6,2020-01-30,103.45,60.0,8200,0,7700,500,500,500,0,51148.23999999996,107249.77500000005,8168.43707178235,150229.57792821765,Oil Gas & Consumable Fuels,541,-0.036666666666666736,-0.4809688581314878
4,HINDALCO,2020-01-01,2020-11-27,residual_after_call_away,1,6,True,True,245330.0,-425500.0000000003,772529.9350000004,34633.9971328689,876742.0,4383710.0,205.0,193.45,2020-01-30,189.35,87.9,21000,0,17200,3800,14000,3800,0,-425500.0000000003,772529.9350000004,34633.997132868906,312395.9378671312,Metals & Mining,331,-0.056341463414634196,-0.54561902300336
5,BAJFINANCE,2020-01-01,2020-01-30,put_expired_otm,1,0,False,False,31809.375000000004,31809.375000000004,0.0,58.309753812500006,999850.0,4999250.0,4000.0,0.0,,,,0,0,0,0,0,0,0,31809.375000000004,0.0,58.309753812500006,31751.065246187503,Financial Services,29,,
6,COALINDIA,2020-01-01,2022-04-01,residual_after_call_away,1,6,True,True,594422.1,237557.09999999948,911452.8525000005,36620.61687805923,966897.0,4834485.0,200.0,187.95,2020-01-30,181.7,110.55,24300,0,21000,3300,3300,3300,0,237557.09999999948,911452.8525000005,36620.61687805923,1112389.3356219407,Oil Gas & Consumable Fuels,821,-0.060250000000000026,-0.4118116520351157
7,NTPC,2020-01-01,2020-01-30,put_expired_otm,1,0,False,False,15119.999999999998,15119.999999999998,0.0,40.0986416,971136.0,4855680.0,112.5,0.0,,,,0,0,0,0,0,0,0,15119.999999999998,0.0,40.0986416,15079.901358399999,Power,29,,
8,TCS,2020-01-01,2020-01-30,put_expired_otm,1,0,False,False,43216.875,43216.875,0.0,70.7573896625,917910.0,4589550.0,2040.0,0.0,,,,0,0,0,0,0,0,0,43216.875,0.0,70.7573896625,43146.1176103375,Information Technology,29,,
9,INDUSINDBK,2020-01-01,2023-12-29,residual_after_call_away,1,12,True,True,145747.89,-151002.11,485380.105,14217.70622583175,371438.0,1857190.0,1420.0,1231.5,2020-01-30,1258.85,301.3,1200,0,1000,200,800,200,1,-151002.10999999996,485380.105,14217.706225831751,320160.2887741683,Financial Services,1458,-0.13274647887323943,-0.755339017458384
10,HEROMOTOCO,2020-01-01,2020-01-30,put_expired_otm,1,0,False,False,32379.840000000004,32379.840000000004,0.0,58.9322338112,827856.0,4139280.0,2300.0,0.0,,,,0,0,0,0,0,0,0,32379.840000000004,0.0,58.9322338112,32320.907766188804,Automobile,29,,
