symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
ONGC,3,residual_after_call_away,2021-06-25,8200,0,7700,500,0,0,0,0,500,500,FLAT
HINDALCO,4,residual_after_call_away,2020-11-27,21000,0,17200,3800,0,0,0,0,14000,3800,FLAT
COALINDIA,6,residual_after_call_away,2022-04-01,24300,0,21000,3300,0,0,0,0,3300,3300,FLAT
INDUSINDBK,9,residual_after_call_away,2023-12-29,1200,0,1000,200,0,0,0,0,800,200,FLAT
LT,15,residual_after_call_away,2021-01-01,3750,0,3300,450,0,0,0,0,2650,450,FLAT
BAJAJ-AUTO,17,completed,2020-11-26,1500,0,1500,0,0,0,0,0,250,0,FLAT
TATAMOTORS,28,completed,2020-11-26,28500,0,28500,0,0,0,0,0,0,0,FLAT
SBIN,29,completed,2020-11-26,21000,0,21000,0,0,0,0,0,0,0,FLAT
ASIANPAINT,43,completed,2021-04-29,2100,0,2100,0,0,0,0,0,0,0,FLAT
BAJFINANCE,47,completed,2021-02-25,1000,0,1000,0,0,0,0,0,0,0,FLAT
DIVISLAB,50,fo_exit,2021-03-31,1400,0,0,1400,0,0,0,0,0,0,FLAT
BPCL,62,completed,2021-05-27,14400,0,14400,0,0,0,0,0,0,0,FLAT
GAIL,64,universe_removal_sale,2021-04-01,42700,0,0,42700,0,0,0,0,0,0,FLAT
TATAMOTORS,66,completed,2021-09-30,17100,0,17100,0,0,0,0,0,0,0,FLAT
IOC,69,fo_exit,2021-03-31,6500,0,0,6500,0,0,0,0,0,0,FLAT
M&M,90,completed,2021-10-28,8400,0,8400,0,0,0,0,0,0,0,FLAT
MARUTI,94,completed,2021-09-30,1000,0,1000,0,0,0,0,0,0,0,FLAT
TCS,95,completed,2021-08-26,2100,0,2100,0,0,0,0,0,0,0,FLAT
HDFCLIFE,98,completed,2023-11-30,11000,0,11000,0,0,0,0,0,9900,0,FLAT
ICICIBANK,113,completed,2022-01-27,11000,0,11000,0,0,0,0,0,0,0,FLAT
BHARTIARTL,120,residual_after_call_away,2022-04-01,11316,0,10450,866,0,0,0,0,866,866,FLAT
HCLTECH,125,completed,2023-09-28,6300,0,6300,0,0,0,0,0,4200,0,FLAT
TECHM,126,completed,2024-08-29,4800,0,4800,0,0,0,0,0,4200,0,FLAT
