cycle_id,symbol,start,end,status,n_puts,n_calls,assigned,called_away,premium,option_pnl,stock_pnl,costs,max_margin_lev,max_margin_unlev,put_strike,assign_fsp,assign_date,first_call_spot,min_spot_while_held,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,cash_settled,stopped_out,stop_level,max_uncovered_at_call,residual_after_call_away,n_call_topups,option_pnl_t,stock_pnl_t,costs_t,total_pnl,sector,duration_days,assignment_gap_pct,drawdown_while_held_pct
1,TATASTEEL,2020-01-01,2020-06-25,uncoverable_odd_lot,1,3,True,False,32538.6,30363.600000000017,-188417.32499999995,3416.8124794125006,683850.0,683850.0,450.0,448.55,2020-01-30,438.7,253.75,1500,0,0,1500,False,False,397.5875,0,0,0,30363.600000000017,-188417.32499999995,3416.8124794125006,-161470.53747941242,Metals & Mining,176,-0.0032222222222222374,-0.43428826217812955
2,VEDL,2020-01-01,2020-06-25,uncoverable_odd_lot,1,2,True,False,20125.0,5949.999999999961,-90494.68749999991,2593.7838413687496,506625.0,506625.0,145.0,140.95,2020-01-30,137.9,61.55,3500,0,0,3500,False,False,131.41,0,0,0,5949.999999999961,-90494.68749999991,2593.7838413687496,-87138.47134136871,Metals & Mining,176,-0.027931034482758688,-0.5633203263568641
3,ONGC,2020-01-01,2020-06-25,uncoverable_odd_lot,1,1,True,False,8815.0,-19475.000000000022,-119067.27999999996,2479.3903792168003,497125.0,497125.0,122.5,115.6,2020-01-30,109.25,60.0,4100,0,0,4100,False,False,108.3325,0,0,0,-19475.000000000022,-119067.27999999996,2479.3903792168003,-141021.67037921678,Oil Gas & Consumable Fuels,176,-0.05632653061224491,-0.4809688581314878
4,HINDALCO,2020-01-01,2020-06-25,uncoverable_odd_lot,1,2,True,False,19425.0,-21000.00000000004,-164231.54999999993,3582.7463954430004,711375.0,711375.0,205.0,193.45,2020-01-30,189.35,87.9,3500,0,0,3500,False,False,182.155,0,0,0,-21000.00000000004,-164231.54999999993,3582.746395443001,-188814.29639544297,Metals & Mining,176,-0.056341463414634196,-0.54561902300336
5,DRREDDY,2020-02-04,2020-02-27,put_expired_otm,1,0,False,False,3656.25,3656.25,0.0,27.589626875,749137.5,749137.5,3000.0,0.0,,,,0,0,0,0,False,False,2755.5724999999998,0,0,0,3656.25,0.0,27.589626875,3628.660373125,Healthcare,23,,
6,BAJFINANCE,2020-02-04,2020-02-27,put_expired_otm,1,0,False,False,3668.45,3668.45,0.0,27.602939271,1024887.5,1024887.5,4100.0,0.0,,,,0,0,0,0,False,False,3841.3624999999997,0,0,0,3668.45,0.0,27.602939271,3640.8470607289996,Financial Services,23,,
7,KOTAKBANK,2020-03-30,2020-04-30,put_expired_otm,1,0,False,False,61971.0,61971.0,0.0,91.22151578,527420.0,527420.0,1340.0,0.0,,,,0,0,0,0,False,False,1099.645,0,0,0,61971.0,0.0,91.22151578,61879.77848422,Financial Services,31,,
8,UPL,2020-05-04,2020-06-25,completed,1,1,True,True,114776.99999999999,39537.00000000008,93239.99999999991,6290.121326660001,737820.0,737820.0,400.0,391.1,2020-05-28,405.85,405.0,1800,0,1800,0,False,False,327.59,0,0,0,39537.00000000008,93239.99999999991,6290.121326660001,126486.87867333999,Chemicals,52,-0.022249999999999992,0.035540782408591154
9,TCS,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,40706.25,40706.25,0.0,68.017845875,959625.0,959625.0,1920.0,0.0,,,,0,0,0,0,False,False,1640.8825,0,0,0,40706.25,0.0,68.017845875,40638.232154125,Information Technology,24,,
10,RELIANCE,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,32784.4,32784.399999999994,0.0,59.373681592000004,693600.0,693600.0,1400.0,0.0,,,,0,0,0,0,False,False,1219.92,0,0,0,32784.399999999994,0.0,59.373681592000004,32725.026318407996,Oil Gas & Consumable Fuels,24,,
11,INFY,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,37966.56,37966.56,0.0,65.0283509408,815460.0,815460.0,680.0,0.0,,,,0,0,0,0,False,False,572.645,0,0,0,37966.56,0.0,65.0283509408,37901.5316490592,Information Technology,24,,
12,COALINDIA,2020-05-04,2020-06-25,completed,1,1,True,True,63180.0,28080.0,35100.0,6227.152146800001,751680.0,751680.0,140.0,133.9,2020-05-28,141.3,129.45,5400,0,5400,0,False,False,120.95500000000001,0,0,0,28080.0,35100.0,6227.152146800001,56952.8478532,Oil Gas & Consumable Fuels,52,-0.04357142857142848,-0.03323375653472749
13,HDFCBANK,2020-05-04,2020-06-25,completed,1,1,True,True,99596.2,36096.2,83500.0,8172.519644016,983600.0,983600.0,960.0,945.25,2020-05-28,951.65,949.85,1000,0,1000,0,False,False,784.55,0,0,0,36096.2,83500.0,8172.519644016,111423.68035598399,Financial Services,52,-0.015364583333333348,0.004866437450409933
14,BHARTIARTL,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,28785.2712,28785.2712,0.0,55.009912228016,906897.45,906897.45,490.0,0.0,,,,0,0,0,0,False,False,452.625,0,0,0,28785.2712,0.0,55.009912228016,28730.261287771984,Telecommunication,24,,
15,HEROMOTOCO,2020-06-01,2020-06-25,put_expired_otm,1,0,False,False,30458.999999999996,30458.999999999996,0.0,56.81828081,899420.0,899420.0,2250.0,0.0,,,,0,0,0,0,False,False,1977.355,0,0,0,30458.999999999996,0.0,56.81828081,30402.181719189997,Automobile,24,,
16,ADANIPORTS,2020-06-01,2020-06-25,put_expired_otm,1,0,False,False,11334.5,11334.5,0.0,35.961292355,774750.0,774750.0,310.0,0.0,,,,0,0,0,0,False,False,279.9475,0,0,0,11334.5,0.0,35.961292355,11298.538707645,Services,24,,
17,MARUTI,2020-06-01,2020-06-25,put_expired_otm,1,0,False,False,10047.38,10047.38,0.0,34.557572154199995,529805.0,529805.0,5300.0,0.0,,,,0,0,0,0,False,False,4924.56,0,0,0,10047.38,0.0,34.557572154199995,10012.822427845798,Automobile,24,,
